Date,Timestamp,Open,High,Low,Close,Volume
20190411,09:00:00,1.33484,1.33577,1.33476,1.33531,3953.13002133369
20190411,10:00:00,1.33531,1.33607,1.33512,1.33524,4537.17001736164
20190411,11:00:00,1.33525,1.33584,1.33523,1.33569,6482.66001713276
20190411,12:00:00,1.33569,1.33918,1.33562,1.3387,9330.94001126289
20190411,13:00:00,1.3387,1.33956,1.3373,1.33758,9853.46000492573
20190411,14:00:00,1.33758,1.33816,1.33666,1.33672,10695.5199898481
20190411,15:00:00,1.33669,1.33837,1.33652,1.33794,7376.399995327
20190411,16:00:00,1.33795,1.33843,1.33737,1.33743,5468.42999839783
20190411,17:00:00,1.33744,1.33782,1.33668,1.33758,5528.79999446869
20190411,18:00:00,1.33758,1.33888,1.33742,1.33795,5174.43999445438
20190411,19:00:00,1.33795,1.33808,1.33677,1.33686,4168.11998724937
20190411,20:00:00,1.33685,1.33856,1.33674,1.3374,2549.26999305189
20190411,21:00:00,1.3374,1.33846,1.33692,1.3373,1819.76999954879
20190411,22:00:00,1.33732,1.338,1.33732,1.33772,6125.37999810278
20190411,23:00:00,1.33773,1.33781,1.33739,1.33773,1109.69999945164
20190412,00:00:00,1.33771,1.3385,1.33693,1.33742,3563.31002151966
20190412,01:00:00,1.33742,1.33791,1.33724,1.33751,3423.38000810146
20190412,02:00:00,1.33751,1.33755,1.33667,1.33681,3108.9100176096
20190412,03:00:00,1.33681,1.33694,1.3363,1.33645,2407.99000608921
20190412,04:00:00,1.33644,1.33647,1.33577,1.33581,1474.77000546455
20190412,05:00:00,1.33581,1.3366,1.33581,1.3364,1889.85000574589
20190412,06:00:00,1.3364,1.33727,1.3362,1.33724,3783.96000874043
20190412,07:00:00,1.33723,1.33734,1.33607,1.33608,4875.71001279354
20190412,08:00:00,1.33608,1.33608,1.3337,1.33373,8179.30003774166
20190412,09:00:00,1.33374,1.33405,1.33278,1.33281,6049.17000585794
20190412,10:00:00,1.3328,1.3338,1.33236,1.33299,9005.95001637936
20190412,11:00:00,1.33299,1.33372,1.33237,1.33361,6408.64001989365
20190412,12:00:00,1.33361,1.33361,1.33175,1.33201,10059.7800222635
20190412,13:00:00,1.33202,1.33336,1.33121,1.33268,10947.1000211239
20190412,14:00:00,1.3327,1.33367,1.33154,1.3325,12416.4800163507
20190412,15:00:00,1.3325,1.33365,1.33224,1.33329,7417.760014534
20190412,16:00:00,1.33328,1.33404,1.33272,1.33334,6509.52997970581
20190412,17:00:00,1.33335,1.33337,1.33261,1.33309,4988.45000684261
20190412,18:00:00,1.33309,1.33343,1.33288,1.33337,6160.40997982025
20190412,19:00:00,1.33337,1.33371,1.33291,1.33297,5597.6600164175
20190412,20:00:00,1.33302,1.33347,1.33188,1.33188,3474.60999405384
20190414,21:00:00,1.33298,1.33337,1.33255,1.33326,1202.91000139713
20190414,22:00:00,1.33329,1.3336,1.3325,1.333,983.5100004673
20190414,23:00:00,1.333,1.33343,1.33267,1.33331,1398.70000004768
20190415,00:00:00,1.3333,1.33364,1.33307,1.33345,1825.81000208855
20190415,01:00:00,1.33345,1.33404,1.33234,1.33235,3367.94000124931
20190415,02:00:00,1.33237,1.33255,1.33195,1.33197,1971.6300060451
20190415,03:00:00,1.33197,1.33266,1.33193,1.33255,2205.56000649929
20190415,04:00:00,1.33254,1.33274,1.33224,1.33273,1490.41000878811
20190415,05:00:00,1.33271,1.33325,1.33228,1.33307,2075.23001003265
20190415,06:00:00,1.33307,1.33407,1.33304,1.33377,2815.13000822067
20190415,07:00:00,1.33378,1.3339,1.33266,1.33289,6680.33998644352
20190415,08:00:00,1.33289,1.33371,1.33275,1.33359,5687.60000710189
20190415,09:00:00,1.33358,1.33388,1.33285,1.33314,4330.55000472069
20190415,10:00:00,1.33315,1.3336,1.33287,1.33316,6196.51999890804
20190415,11:00:00,1.33316,1.33349,1.33133,1.33229,5843.71000337601
20190415,12:00:00,1.33229,1.33229,1.32973,1.32974,9113.23999488354
20190415,13:00:00,1.32972,1.3319,1.32969,1.33133,7673.13999581337
20190415,14:00:00,1.33135,1.33902,1.33016,1.3368,12714.5900046825
20190415,15:00:00,1.33682,1.33847,1.33673,1.33728,6005.8199955225
20190415,16:00:00,1.33726,1.33787,1.33679,1.33724,5253.07999742031
20190415,17:00:00,1.33726,1.33751,1.33667,1.33668,3996.87999522686
20190415,18:00:00,1.33668,1.33802,1.3366,1.33773,5306.45000183582
20190415,19:00:00,1.33772,1.33773,1.33679,1.33713,4116.20000457764
20190415,20:00:00,1.33713,1.33719,1.33651,1.3366,2798.84999208897
20190415,21:00:00,1.3366,1.33722,1.3366,1.33704,1610.27999822795
20190415,22:00:00,1.33709,1.3375,1.33697,1.33734,3509.21998871863
20190415,23:00:00,1.33735,1.33747,1.33688,1.3369,1522.31999969482
20190416,00:00:00,1.33692,1.33785,1.33692,1.33767,2477.99000608921
20190416,01:00:00,1.33768,1.33904,1.33767,1.33893,4014.61000835896
20190416,02:00:00,1.33892,1.33921,1.33844,1.33861,2880.03000211716
20190416,03:00:00,1.33861,1.33893,1.33803,1.33807,2917.02000057697
20190416,04:00:00,1.33808,1.33817,1.33756,1.33774,1826.32000422478
20190416,05:00:00,1.33774,1.33854,1.33772,1.33849,1882.89000535011
20190416,06:00:00,1.33851,1.33963,1.33816,1.33926,4181.01001262665
20190416,07:00:00,1.33925,1.34027,1.33888,1.33952,5607.41001987457
20190416,08:00:00,1.33951,1.33957,1.33825,1.33854,6134.35002696514
20190416,09:00:00,1.33853,1.33946,1.33791,1.33839,7625.39002382755
20190416,10:00:00,1.33841,1.33917,1.33773,1.33875,5907.28001093864
20190416,11:00:00,1.33875,1.33889,1.337,1.33714,5686.20000758767
20190416,12:00:00,1.33714,1.33787,1.33628,1.3372,10087.6500127316
20190416,13:00:00,1.33721,1.33832,1.33635,1.33754,8785.7900159359
20190416,14:00:00,1.33755,1.33759,1.33457,1.33591,10341.0799922943
20190416,15:00:00,1.33591,1.33637,1.33496,1.335,4525.25999927521
20190416,16:00:00,1.335,1.33646,1.33485,1.33597,5398.42999565601
20190416,17:00:00,1.33596,1.33667,1.33572,1.33639,3166.52000212669
20190416,18:00:00,1.33638,1.33653,1.33526,1.33528,4299.25998961926
20190416,19:00:00,1.33528,1.33587,1.33508,1.33576,4072.66998636723
20190416,20:00:00,1.33574,1.33577,1.33486,1.33493,2656.47999216616
20190416,21:00:00,1.33494,1.33576,1.33489,1.3353,1690.50000254065
20190416,22:00:00,1.3353,1.3367,1.33478,1.33581,2340.88999982923
20190416,23:00:00,1.33582,1.33657,1.33572,1.33586,1734.87999927998
20190417,00:00:00,1.33587,1.33641,1.33549,1.33613,2811.74000823498
20190417,01:00:00,1.33614,1.33721,1.33551,1.33593,3590.08000457287
20190417,02:00:00,1.33591,1.33591,1.33432,1.33464,6124.95000731945
20190417,03:00:00,1.33464,1.33565,1.33443,1.33501,2582.56000816822
20190417,04:00:00,1.335,1.33501,1.33409,1.33419,2504.73001277447
20190417,05:00:00,1.33419,1.3343,1.33286,1.33295,2905.59000968933
20190417,06:00:00,1.33296,1.3335,1.3326,1.33313,4074.10000884533
20190417,07:00:00,1.33313,1.33332,1.3316,1.33181,4636.5000026226
20190417,08:00:00,1.33181,1.3323,1.3308,1.33218,4090.80000507832
20190417,09:00:00,1.33215,1.33268,1.33128,1.33237,5521.70001029968
20190417,10:00:00,1.33237,1.33256,1.332,1.33236,4308.08999657631
20190417,11:00:00,1.33236,1.33404,1.33226,1.33375,5423.73000001907
20190417,12:00:00,1.33375,1.33394,1.32741,1.32929,11544.1200236678
20190417,13:00:00,1.3293,1.33242,1.32836,1.3322,11562.7300077677
20190417,14:00:00,1.33222,1.33398,1.3319,1.3328,12818.820010066
20190417,15:00:00,1.3328,1.33468,1.33226,1.33458,10589.4700140953
20190417,16:00:00,1.3346,1.33521,1.33388,1.33433,8209.87001359463
20190417,17:00:00,1.33433,1.33458,1.33369,1.33429,5813.34000122547
20190417,18:00:00,1.33432,1.33487,1.33405,1.33429,5957.24001002312
20190417,19:00:00,1.33429,1.33449,1.33402,1.33438,5108.05999362469
20190417,20:00:00,1.33438,1.33492,1.3336,1.33402,3197.42998880148
20190417,21:00:00,1.33402,1.33522,1.33316,1.33472,3811.46000699699
20190417,22:00:00,1.33474,1.33504,1.33416,1.33491,1199.64999896288
